,Title,Type,Company,CTC,Location,Exp
93,Business Analyst,International,"Verdiant Tech (San Francisco, United States)","₹ 4,00,000 - 6,00,000",Work from home,0-5 years
94,MIS Executive,Fresher  Job,Archies Lifestyle,"₹ 2,00,000 - 2,40,000",Delhi,0-2 years
95,Clinical And Scientific Marketing Specialist,Fresher  Job,Vitality Living College,"₹ 2,00,000 - 2,30,000",Work from home,0-2 years
96,Machine Learning (Computer Vision),No data,Fluid Analytics Pvt. Ltd.,"₹ 5,00,000",Pune,3-5 years
97,Junior Business Analyst,No data,Aamod ItSolutions,"₹ 2,00,000 - 2,50,000",Jaipur,1-3 years
98,Data Analyst,No data,Internshala,"₹ 10,00,000 - 15,00,000",Gurgaon,2-5 years
99,Channel Support Officer,No data,SIP Academy India Private Limited,"₹ 5,00,000",Chennai,2-3 years
100,Pricing Analyst,Fresher  Job,Travel Boutique Online,"₹ 5,00,000 - 6,00,000",Gurgaon,0-1 years
101,Data Analyst/Statistician - Diagnostic Development,No data,Primary Healthtech,"₹ 2,40,000 - 3,00,000",Noida,1-3 years
102,Business Analyst,No data,Validus Fintech Services Pvt Ltd,"₹ 5,00,000 - 7,00,000",Hyderabad,4-5 years
103,Management Trainee (Sales),Fresher  Job,Brandbuddiez Technologies Private Limited,"₹ 2,50,000 - 4,00,000",Mumbai,0-2 years
104,Artificial Intelligence Engineer,Fresher  Job,Subash Vijay Associates (SVA),"₹ 2,00,000 - 2,40,000",Navi Mumbai,0-2 years
105,Artificial Intelligence (AI) Specialist,Part time,INSTAGURU PRIVATE LIMITED,"₹ 2,00,000 - 2,50,000",Work from home,1-3 years
106,Artificial Intelligence (AI) Associate,No data,Hubnine India Private Limited,"₹ 2,00,000 - 3,00,000",Work from home,1-3 years
107,ML Cloud DevOps Engineer,No data,Hubnine India Private Limited,"₹ 2,00,000 - 3,00,000",Work from home,1-5 years
108,Business Research Associate,Fresher  Job,Eduway Consultants,"₹ 2,00,000",Bangalore,0 years
109,AI Engineer,No data,Applied Generative Solutions,"₹ 2,40,000 - 4,00,000",Work from home,0-3 years
110,Artificial Intelligence (AI) Associate,Fresher  Job,NewZenAlpha Tech,"₹ 2,40,000",Bangalore,0-1 years
111,Data Extraction Analyst - Operations,Fresher  Job,Mea Platform Technologies Pvt Ltd,"₹ 3,00,000",Work from home,0-1 years
112,AIML Engineer,No data,Seethos,"₹ 9,00,000",Work from home,1-3 years
113,System Administration,No data,Admin Looks,"₹ 12,00,000 - 16,20,000",Pune,4-6 years
114,Storage Administrator,No data,Admin Looks,"₹ 12,00,000 - 15,60,000",Pune,4-6 years
115,Shop Assistant Cum Salesperson,No data,Chiji Computers - India,Competitive salary,Kumbakonam,1-3 years
116,Project Management,No data,V3Cube,"₹ 2,50,000 - 6,00,000",Ahmedabad,1-3 years
117,Jr. Java Developer,No data,Xomic Infotech Private Limited,"₹ 3,00,000 - 7,20,000",Ahmedabad,1-3 years
118,Jr. Business Analyst,No data,Xomic Infotech Private Limited,"₹ 3,00,000 - 3,50,000",Ahmedabad,1-3 years
119,Application Support,No data,CapTalent HR,"₹ 4,00,000 - 6,00,000",Vashi,4-6 years
120,IT Support Engineer,No data,INTINERI INFOSOL PRIVATE LIMITED,"₹ 5,00,000 - 13,00,000",Gurgaon,7-10 years
121,System Executive,Fresher  Job,SOLAMALAI GROUP,Competitive salary,Tirunelveli,0-1 years
122,Dot Net Healthcare Requirement,No data,Ahvi Infotech,"₹ 12,00,000 - 18,00,000",Coimbatore,7-10 years
123,Senior Mern-stack Developer,No data,Ment Tech Labs Pvt. Ltd.,"₹ 7,20,000 - 12,00,000",Indore,4-6 years
124,SDE Backend (Only Females With Career Gap),No data,GenSpark India,"₹ 35,00,000 - 45,00,000",Bangalore,7-10 years
125,Senior Software Engineer,No data,Intertec Softwares Pvt Ltd,"₹ 8,00,000 - 12,00,000",No data,4-6 years
126,Senior Engineer Elixir,Part time,JTek Software Solutions Pvt Ltd,Competitive salary,Work from home,7-10 years
127,EMEA Senior Engineer,Part time,JTek Software Solutions Pvt Ltd,Competitive salary,Work from home,7-10 years
128,System Integration Specialist,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Hyderabad,4-6 years
129,QA Lead,No data,JTek Software Solutions Pvt Ltd,"₹ 8,00,000 - 12,00,000",Hyderabad,7-10 years
131,Senior Full Stack Engineer,Part time,JTek Software Solutions Pvt Ltd,Competitive salary,Work from home,7-10 years
132,DATA ANALYST-MADURAI,Fresher  Job,Kukulkan Manpower Consultancy,Competitive salary,Madurai,0-1 years
134,ServiceNow TSM Developer,No data,QBrainX Inc,Competitive salary,Chennai,4-6 years
135,Odoo Developer,No data,JTek Software Solutions Pvt Ltd,"₹ 5,00,000 - 10,00,000",Hyderabad,7-10 years
136,Incident Problem Manager,No data,Jio,Competitive salary,Navi Mumbai,7-10 years
137,Graduate Engineer Trainee,Fresher  Job,Admin Looks,"₹ 2,40,000 - 2,64,000",Mumbai,0-1 years
138,Business Application Support,No data,CapTalent HR,"₹ 10,00,000 - 14,00,000",Bangalore,4-6 years
139,Odoo Accounting Specialist,No data,JTek Software Solutions Pvt Ltd,"₹ 5,00,000 - 10,00,000",Hyderabad,7-10 years
140,IT Business Partner,No data,CapTalent HR,"₹ 10,00,000 - 14,00,000",Bangalore,4-6 years
141,SAP SD Manager,No data,CapTalent HR,"₹ 8,00,000 - 14,00,000",Chennai,4-6 years
142,Full Stack .Net Developer,No data,Chiselon Technologies Pvt Ltd,"₹ 8,00,000 - 15,00,000",Coimbatore,4-6 years
143,Ab Initio Developer,No data,Mazenet Solution,"₹ 16,00,000 - 17,00,000",Chennai,7-10 years
144,Senior Share Point Developer,No data,Revuteck,Competitive salary,Hyderabad,4-6 years
145,Data Engineer,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Gurgaon,7-10 years
146,Service Now Developer,No data,Ahvi Infotech,"₹ 18,00,000 - 25,00,000",No data,7-10 years
147,IOS Development,Part time,Collabdiary,Competitive salary,Work from home,7-10 years
148,Node.js,Part time,Collabdiary,Competitive salary,Work from home,7-10 years
149,JuniorDataScientist,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Hyderabad,1-3 years
150,Application Support Engineer - Telecom,No data,Jio,Competitive salary,Thane,4-6 years
151,GCP Data Engineer,No data,Raah Techservices,"₹ 16,00,000 - 18,00,000",Work from home,4-6 years
152,SQL Developer,No data,Admin Looks,"₹ 7,80,000 - 12,00,000",Work from home,4-6 years
153,Technical Lead - Python,No data,Jio,Competitive salary,Delhi,7-10 years
154,Senior EPM Developer,No data,ZenithCad,Competitive salary,Chennai,7-10 years
155,Data Scientist,No data,Admin Looks,"₹ 9,00,000 - 15,00,000",Work from home,4-6 years
156,React Developer,No data,Reliance Retail,Competitive salary,Navi Mumbai,4-6 years
157,Java Software Engineer,No data,Reliance Retail,Competitive salary,Navi Mumbai,4-6 years
158,Sr. Data Engineers,No data,Wings Global Services,"₹ 18,00,000 - 21,00,000",Bangalore,7-10 years
159,ERP Next Developer,No data,CapTalent HR,"₹ 4,00,000 - 7,00,000",Chennai,4-6 years
160,HCM Cloud Functional Consultant,No data,ZenithCad,Competitive salary,No data,4-6 years
161,Oracle Fusion HCM Functional Lead,No data,Strategic Resources International Inc,Competitive salary,Chennai,7-10 years
162,ERP Next/ Frappe Developer,No data,CapTalent HR,"₹ 4,00,000 - 7,00,000",Chennai,4-6 years
163,Sr Oracle Apps Cloud Supply Chain Planning,No data,Saaswika Solutions Private Limited,"₹ 15,00,000 - 20,00,000",Bangalore,7-10 years
164,Desktop Support Engineer,Fresher  Job,Talentroll,"₹ 2,04,000 - 4,20,000",Jaipur,0-1 years
165,Database Administrator,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Gurgaon,7-10 years
166,Service NowSenior Developer (Remote Working),No data,Innovative Talent Solutions,"₹ 19,00,000 - 20,00,000",Work from home,7-10 years
167,Full Stack Engineer,No data,Ment Tech Labs Pvt. Ltd.,Competitive salary,Indore,7-10 years
168,Tap Workflow Automation Engineer,No data,Rohini IT Consulting LLP,Competitive salary,Delhi,1-3 years
